city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,AR,ARG,Buenos Aires,primary,16216000.0,1032717330
San Miguel de Tucumán,San Miguel de Tucuman,-26.8167,-65.2167,Argentina,AR,ARG,Tucumán,admin,605767.0,1032233996
Mar del Plata,Mar del Plata,-38.0,-57.55,Argentina,AR,ARG,Buenos Aires,minor,593337.0,1032456103
San Juan,San Juan,-31.5375,-68.5364,Argentina,AR,ARG,San Juan,admin,471389.0,1032869625
Santiago del Estero,Santiago del Estero,-27.7844,-64.2669,Argentina,AR,ARG,Santiago del Estero,admin,252192.0,1032492280
Paraná,Parana,-31.7444,-60.5175,Argentina,AR,ARG,Entre Ríos,admin,247863.0,1032266693
González Catán,Gonzalez Catan,-34.7708,-58.6464,Argentina,AR,ARG,Buenos Aires,,238067.0,1032883563
Banfield,Banfield,-34.75,-58.3833,Argentina,AR,ARG,Buenos Aires,,223898.0,1032997685
Isidro Casanova,Isidro Casanova,-34.7,-58.5833,Argentina,AR,ARG,Buenos Aires,,190696.0,1032715964
La Rioja,La Rioja,-29.4131,-66.8558,Argentina,AR,ARG,La Rioja,admin,180995.0,1032864257
José María Ezeiza,Jose Maria Ezeiza,-34.8333,-58.5167,Argentina,AR,ARG,Buenos Aires,minor,160219.0,1032337881
San Nicolás de los Arroyos,San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina,AR,ARG,Buenos Aires,minor,160000.0,1032067887
Catamarca,Catamarca,-28.4686,-65.7792,Argentina,AR,ARG,Catamarca,admin,159139.0,1032260908
Rafael Castillo,Rafael Castillo,-34.7167,-58.6167,Argentina,AR,ARG,Buenos Aires,,147965.0,1032812310
Concordia,Concordia,-31.3922,-58.0169,Argentina,AR,ARG,Entre Ríos,minor,149450.0,1032923957
San Justo,San Justo,-34.6833,-58.55,Argentina,AR,ARG,Buenos Aires,minor,136604.0,1032899295
Temperley,Temperley,-34.7667,-58.3833,Argentina,AR,ARG,Buenos Aires,,121451.0,1032183944
Ramos Mejía,Ramos Mejia,-34.65,-58.5667,Argentina,AR,ARG,Buenos Aires,,120346.0,1032425368
Mendoza,Mendoza,-32.8833,-68.8333,Argentina,AR,ARG,Mendoza,admin,114822.0,1032433516
Bernal,Bernal,-34.7,-58.2833,Argentina,AR,ARG,Buenos Aires,,109914.0,1032030395
Gualeguaychú,Gualeguaychu,-33.0078,-58.5111,Argentina,AR,ARG,Entre Ríos,minor,109461.0,1032523704
Morón,Moron,-34.65,-58.6167,Argentina,AR,ARG,Buenos Aires,minor,99066.0,1032773254
La Banda,La Banda,-27.7333,-64.25,Argentina,AR,ARG,Santiago del Estero,minor,106441.0,1032317566
Villa Luzuriaga,Villa Luzuriaga,-34.6667,-58.5833,Argentina,AR,ARG,Buenos Aires,,94403.0,1032092344
Caseros,Caseros,-34.6167,-58.5333,Argentina,AR,ARG,Buenos Aires,minor,95785.0,1032500630
Burzaco,Burzaco,-34.8167,-58.3667,Argentina,AR,ARG,Buenos Aires,,98859.0,1032073218
Ciudad General Belgrano,Ciudad General Belgrano,-34.7261,-58.5289,Argentina,AR,ARG,Buenos Aires,,92957.0,1032336348
San Francisco Solano,San Francisco Solano,-34.7667,-58.3167,Argentina,AR,ARG,Buenos Aires,,91322.0,1032776804
Río Gallegos,Rio Gallegos,-51.6333,-69.2333,Argentina,AR,ARG,Santa Cruz,admin,95796.0,1032471024
