alt	name
tucumán	Tucumán
san luis	San Luis
santa fe	Santa Fe
entre ríos	Entre Ríos
chaco	Chaco
la pampa	La Pampa
río negro	Río Negro
chubut	Chubut
formosa	Formosa
salta	Salta
santa cruz	Santa Cruz
corrientes	Corrientes
santiago del estero	Santiago del Estero
san juan	San Juan
córdoba	Córdoba
misiones	Misiones
neuquén	Neuquén
jujuy	Jujuy
tierra del fuego, antártida e islas del atlántico sur	Tierra del Fuego, Antártida e Islas del Atlántico Sur
tucuman	Tucumán
entre rios	Entre Ríos
rio negro	Río Negro
cordoba	Córdoba
neuquen	Neuquén
tierra del fuego, antartida e islas del atlantico sur	Tierra del Fuego, Antártida e Islas del Atlántico Sur
tucumán	Tucumán
entre ríos	Entre Ríos
río negro	Río Negro
córdoba	Córdoba
neuquén	Neuquén
tierra del fuego, antártida e islas del atlántico sur	Tierra del Fuego, Antártida e Islas del Atlántico Sur
