gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
979,Gobierno local,MULTIPOINT(-65.169287078336 -31.2498502183129),Comuna Talaini,Comuna,Talaini,142392,Comuna,CO,Córdoba,14,BAHRA,IGN
2014,Gobierno local,MULTIPOINT(-60.4305625619127 -30.4473008901239),Comuna Silva,Comuna,Silva,823960,Comuna,CO,Santa Fe,82,BAHRA,IGN
12,Gobierno local,MULTIPOINT(-59.2619518894681 -28.1458914655187),Comuna Hardy,Comuna,Hardy,822808,Comuna,CO,Santa Fe,82,BAHRA,IGN
1,Gobierno local,MULTIPOINT(-60.2028737207456 -26.9558877715034),Municipio Colonia Aborigen,Municipio,Colonia Aborigen,220473,Municipio,M3,Chaco,22,BAHRA,IGN
2,Gobierno local,MULTIPOINT(-60.4477674649964 -25.4088157468492),Municipio El Espinillo,Municipio,El Espinillo,220165,Municipio,M3,Chaco,22,BAHRA,IGN
3,Gobierno local,MULTIPOINT(-63.3383849986687 -31.0285411749352),Comuna Diego de Rojas,Comuna,Diego de Rojas,142651,Comuna,CO,Córdoba,14,BAHRA,IGN
4,Gobierno local,MULTIPOINT(-58.7685526876564 -27.703523244602),Municipio El Sombrero,Municipio,El Sombrero,180073,Municipio,MU,Corrientes,18,BAHRA,IGN
5,Gobierno local,MULTIPOINT(-58.8030984821092 -27.9507200842644),Municipio Empedrado,Municipio,Empedrado,180077,Municipio,MU,Corrientes,18,BAHRA,IGN
6,Gobierno local,MULTIPOINT(-58.9506685900834 -28.4281919634883),Municipio Tres de Abril,Municipio,Tres de Abril,180010,Municipio,MU,Corrientes,18,BAHRA,IGN
7,Gobierno local,MULTIPOINT(-58.3041944158396 -29.9823640736431),Municipio Cazadores Correntinos,Municipio,Cazadores Correntinos,180059,Municipio,MU,Corrientes,18,BAHRA,IGN
8,Gobierno local,MULTIPOINT(-59.3151975597196 -29.4983915313441),Municipio San Isidro,Municipio,San Isidro,180143,Municipio,MU,Corrientes,18,BAHRA,IGN
9,Gobierno local,MULTIPOINT(-59.1481306767893 -28.944082594536),Municipio Cecilio Echavarría,Municipio,Cecilio Echavarría,180188,Municipio,MU,Corrientes,18,BAHRA,IGN
10,Gobierno local,MULTIPOINT(-58.4485973687735 -28.2071920215945),Municipio Pago de los Deseos,Municipio,Pago de los Deseos,180318,Municipio,MU,Corrientes,18,BAHRA,IGN
11,Gobierno local,MULTIPOINT(-54.1495987985457 -26.3471654019617),Municipio Pozo Azul,Municipio,Pozo Azul,540501,Municipio,M2,Misiones,54,BAHRA,IGN
13,Gobierno local,MULTIPOINT(-59.9827483776355 -28.4582578283361),Comuna Los Tábanos,Comuna,Los Tábanos,824188,Comuna,CO,Santa Fe,82,BAHRA,IGN
14,Gobierno local,MULTIPOINT(-59.9726816904076 -30.2518377418183),Comuna Colonia Teresa,Comuna,Colonia Teresa,823704,Comuna,CO,Santa Fe,82,BAHRA,IGN
15,Gobierno local,MULTIPOINT(-58.9968546110514 -30.3793489904635),Junta de gobierno Las Mulitas,Junta de gobierno,Las Mulitas,309255,Junta de Gobierno,JG3,Entre Ríos,30,BAHRA,IGN
16,Gobierno local,MULTIPOINT(-60.4056337145242 -31.9791685230089),Comuna Gobernador Racedo,Comuna,Gobernador Racedo,302161,Comuna,CO1,Entre Ríos,30,BAHRA,IGN
17,Gobierno local,MULTIPOINT(-58.6781844017887 -33.4579324849961),Junta de Gobierno Ñancay,Junta de Gobierno,Ñancay,309410,Junta de Gobierno,JG4,Entre Ríos,30,BAHRA,IGN
18,Gobierno local,MULTIPOINT(-59.5020517256066 -32.276612835314),Junta de Gobierno Distrito Sauce,Junta de Gobierno,Distrito Sauce,309543,Junta de Gobierno,JG2,Entre Ríos,30,BAHRA,IGN
19,Gobierno local,MULTIPOINT(-60.0736870468197 -31.5823888683515),Junta de Gobierno Colonia Cerrito,Junta de Gobierno,Colonia Cerrito,309640,Junta de Gobierno,JG4,Entre Ríos,30,BAHRA,IGN
20,Gobierno local,MULTIPOINT(-63.9594266224406 -28.6294638122051),Comisión Hoyón,Comisión,Hoyón,866024,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
21,Gobierno local,MULTIPOINT(-63.6921785955657 -28.5958035540907),Comisión Juanillo,Comisión,Juanillo,866026,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
