alt	name
tucumán	Tucumán
san luis	San Luis
santa fe	Santa Fe
entre ríos	Entre Ríos
chaco	Chaco
la pampa	La Pampa
río negro	Río Negro
chubut	Chubut
formosa	Formosa
salta	Salta
santa cruz	Santa Cruz
corrientes	Corrientes
san juan	San Juan
córdoba	Córdoba
misiones	Misiones
neuquén	Neuquén
jujuy	Jujuy
tierra del fuego, antártida e islas del atlántico sur	Tierra del Fuego
tucuman	Tucumán
entre rios	Entre Ríos
rio negro	Río Negro
santiago del estero	Santiago del Estero
cordoba	Córdoba
neuquen	Neuquén
tierra del fuego, antartida e islas del atlantico sur	Tierra del Fuego
tucumán	Tucumán
entre ríos	Entre Ríos
río negro	Río Negro
córdoba	Córdoba
neuquén	Neuquén
tierra del fuego, antártida e islas del atlántico sur	Tierra del Fuego
antártida e islas del atlántico sur	Tierra del Fuego
santiago	Santiago del Estero
tierra del fuego	Tierra del Fuego
entre	Entre Ríos
santiago del	Santiago del Estero
