alt	name
brazileia	Brasiléia
santa efigenia	Capela, Alagoas
poxim	Coruripe
riacho do sertao	Major Isidoro
entremontes	Piranhas, Alagoas
tatuamunha	Porto de Pedras
munguba	Santana do Mundaú
tanque d'arca	Tanque d'Arca
rocha cavalcante	União dos Palmares
anel	Viçosa, Alagoas
cunani	Calçoene
lourenco	Calçoene
carvao	Mazagão
mazagao velho	Mazagão
clevelandia do norte	Oiapoque
igarape do lago	Santana, Amapá
ilha de santana	Santana, Amapá
portuario do igarape da fortaleza	Santana, Amapá
murutinga	Autazes
ariau	Barreirinha
freguesia do andira	Barreirinha
lago preto	Boa Vista do Ramos
massauari	Boa Vista do Ramos
badajos	Codajás
amatari	Itacoatiara
nona r.a.	Maués
oitava r.a.	Maués
osorio da fonseca	Maués
primeira r.a.	Maués
quarta r.a.	Maués
quinta r.a.	Maués
repartimento	Maués
segunda r.a.	Maués
setima r.a.	Maués
sexta r.a.	Maués
terceira r.a.	Maués
balbina	Presidente Figueiredo
tabatinga	São Sebastião do Uatumã
augusto montenegro	Urucurituba
catoles	Abaíra
ibo	Abaré
pataiba	Água Fria
boa uniao	Alagoinhas
riacho da guia	Alagoinhas
corta mao	Amargosa
diogenes sampaio	Amargosa
itachama	Amargosa
inhata	Amélia Rodrigues
mata da alianca	Amélia Rodrigues
coquinhos	Anagé
sitio da barauna	Andorinha
tanquinho do poco	Andorinha
misso de aricobé	Angical
santo estevao velho	Antônio Cardoso
itatingui	Arataca
maragogipinho	Aratuípe
laje do banco	Aurelino Leal
poco central	Aurelino Leal
varzeas	Baianópolis
ibiraba	Barra
igarite	Barra
triunfo do sincora	Barra da Estiva
minas do espirito santo	Barra do Mendes
luis eduardo magalhaes	Barreiras
lagoa do boi	Barro Alto, Bahia
governador lomanto junior	Barro Preto
boca do corrego	Belmonte, Bahia
mogiquicaba	Belmonte, Bahia
brejo novo	Boa Vista do Tupim
agua bela	Bom Jesus da Serra
bastiao	Boninal
bucuituba	Boquira
ouricuri do ouro	Brotas de Macaúbas
saudavel	Brotas de Macaúbas
itaquarai	Brumado
