place_name	frequency
sã£o paulo	2482
jerusalém	948
brasã­lia	926
grande sp	799
homs	549
bancoc	533
ancara	295
deraa	293
candahar	284
nova déli	283
hama	265
fallujah	260
beslan	242
paranã¡	231
riad	214
toulouse	211
cearã¡	195
bh	189
franã§a	188
san	186
vila cruzeiro	185
newtown	185
iêmen	181
karbala	181
donetsk	169
túnis	167
urumqi	167
tchetchênia	164
manguinhos	152
daguestão	151
sã£o	150
mogadício	148
jammu	147
foz do iguaã§u	145
quirguistão	143
dallas	140
lockerbie	138
país basco	138
parã¡	138
bahrein	134
johannesburgo	133
jardins	133
grande sã£o paulo	133
embu	130
sadr city	129
rio grande do	128
cisjordânia	127
bangu 1	127
montevidéu	125
jalalabad	125
ciudad juárez	124
orlando	119
presidente	119
reino	119
copenhague	119
rio de	118
munique	117
cracolândia	116
bilbao	116
utoeya	114
netanya	113
escócia	112
misrata	112
grozny	110
christchurch	110
kuait	108
pinheirinho	107
presidente bernardes	106
pensilvânia	105
praga	105
são petersburgo	104
rússia	103
incra	103
eldorado	102
kunduz	102
monterrey	102
hadera	102
stockwell	101
paraisã3polis	101
bombaim	100
birmingham	100
tucson	100
cumbica	99
ferguson	98
ossétia	97
ibirapuera	96
colônia	94
tamaulipas	93
maiduguri	92
tulkarem	92
abidjã	92
karrada	92
lyon	91
san francisco	90
idlib	90
bagdã¡	90
paã­s	89
inglaterra	89
idleb	88
masp	88
vila madalena	88
utoya	88
estrasburgo	87
goiã¡s	87
guayaquil	86
dora	85
xangai	85
alcaçuz	85
latakia	85
amsterdã	84
suez	84
condado	84
inguchétia	84
arábia	83
banespa	82
bogotã¡	82
carajás	81
balad	81
viena	80
herat	79
jos	77
baaquba	77
irajá	76
dacca	76
belã©m	76
kufa	74
brooklin	74
kaduna	74
franco	74
aparecida	73
charleston	73
nápoles	73
guerrero	73
kano	73
monróvia	72
oruro	72
grande	72
toronto	72
albina	72
oakland	72
cáucaso	72
taiz	71
denver	71
florença	70
port	70
yangun	69
miraflores	68
sã£o bernardo do campo	68
ahmedabad	68
aden	68
cauca	67
ny	67
kuta	67
lugansk	66
nova brasília	66
caquetá	66
tahrir	66
genebra	65
zona verde	64
waziristão	63
niterã3i	63
campos elíseos	63
chiapas	62
calcutá	62
nova zelã¢ndia	62
palermo	61
columbine	61
são miguel paulista	60
febem	60
itaquerão	60
riocentro	60
dresden	60
república	60
sichuan	59
san cristóbal	59
littleton	59
preto	59
kfar	59
tottenham	59
lagos	59
áfrica	58
beit	58
concepción	58
méier	57
guaianazes	57
erfurt	57
humaitá	57
guarujã¡	57
abidjan	57
bordeaux	57
costa barros	57
varsóvia	56
flã3rida	56
sacomã	56
sertãozinho	56
bab	56
rio claro	56
kut	56
el paso	56
ciudad	56
pittsburgh	56
paraã­ba	56
nassiriah	55
barrios altos	55
gotemburgo	55
uruzgan	55
cidade jardim	55
alemão	55
cidade nova	54
viracopos	54
houla	54
oklahoma city	54
guantánamo	54
melbourne	54
pedro juan caballero	54
buffalo	54
québec	53
anhangabaú	53
narathiwat	53
maracaibo	52
falluja	52
grozni	52
goiã¢nia	52
vale	52
áden	52
cdp	52
pattani	51
sderot	51
ruanda	51
chihuahua	51
espã­rito santo	51
baiji	50
abu	50
grande recife	50
grande florianópolis	50
macacos	50
zurique	50
jardim ângela	50
salônica	50
maranhã£o	50
ribeirã£o preto	50
irbil	49
chibok	49
abc paulista	49
costa	49
mahmudiya	49
iguala	49
viana	49
nova holanda	49
campala	49
banias	49
meca	48
beiji	48
rocha	48
zahedan	48
mindanao	48
teerã£	47
erez	47
mato grosso do	47
santo andrã©	47
san diego	47
complexo	47
itã¡lia	47
calais	46
khalis	46
eua	46
karradah	46
país	46
de são paulo	46
estácio	46
vigário geral	46
detroit	46
montauban	46
interlagos	45
brega	45
amara	45
pavão-pavãozinho	45
queens	45
veracruz	45
grã-bretanha	45
port said	45
sirte	44
durban	44
valencia	44
taipé	44
jardim américa	44
afula	44
san sebastián	44
mangueira	44
nariño	44
potosí	44
deir	43
puraquequara	43
khanaqin	43
lille	43
farah	43
taji	43
mar del plata	43
tetovo	43
edimburgo	43
slaviansk	43
arequipa	43
sidi bouzid	43
bristol	43
san pedro sula	43
vale do anhangabaú	43
multan	43
irã£	42
mazar-e-sharif	42
prefeitura	42
borno	42
michoacán	42
san bernardino	42
hyderabad	42
vila nova cachoeirinha	42
turim	42
florianã3polis	42
eilat	41
sevilha	41
zamboanga	41
interior	41
tal afar	41
salta	41
zabul	41
barranquilla	41
carolina do	41
califã3rnia	41
al anbar	40
montreal	40
parque	40
entre ríos	40
rastan	40
araã§atuba	40
zinjibar	40
las	39
omagh	39
cobija	39
sousse	39
chacao	39
neiva	39
houston	39
volgogrado	39
rafah	39
jerusalã©m	39
baixa do sapateiro	38
santa cruz de la sierra	38
khan	38
chapare	38
bolonha	38
hillah	38
acapulco	38
manágua	38
kauhajoki	38
cidade do cabo	38
kharkiv	38
táchira	37
nova jersey	37
tal	37
douma	37
funai	37
mazar-i-sharif	37
ciudad del este	37
huila	37
itamaraty	37
limão	37
rãossia	37
la plata	36
moçambique	36
mitrovica	36
kobani	36
santander	36
barajas	36
uvalde	36
coréia	35
charsadda	35
mansur	35
hangu	35
taez	35
burgos	35
andijan	35
beersheba	35
bailey	35
ayotzinapa	35
baluchistão	35
zawiyah	35
vila clementino	35
putumayo	35
