alt	name
afghanistan	Afghanistan
afeganistão	Afghanistan
afeganistáo	Afghanistan
kabul	Kabul
cabul	Kabul
albania	Albania
tirana	Tirana
algeria	Algeria
algiers	Algiers
argel	Algiers
andorra	Andorra
portland	Portland
trípoli	Tripoli
andorra la vella	Andorra La Vella
angola	Angola
luanda	Luanda
antigua & barbuda	Antigua & Barbuda
saint john's	Saint John's
saint johns	Saint John's
argentina	Argentina
buenos aires	Buenos Aires
buenos	Buenos Aires
armenia	Armenia
yerevan	Yerevan
australia	Australia
canberra	Canberra
austria	Austria
vienna	Vienna
azerbaijan	Azerbaijan
baku	Baku
bahamas	Bahamas
nassau	Nassau
bahrain	Bahrain
manama	Manama
bangladesh	Bangladesh
dhaka	Dhaka
barbados	Barbados
bridgetown	Bridgetown
belarus	Belarus
minsk	Minsk
belgium	Belgium
brussels	Brussels
bruxelas	Brussels
belize	Belize
belmopan	Belmopan
benin	Benin
porto-novo	Porto-Novo
bhutan	Bhutan
thimphu	Thimphu
bolivia	Bolivia
la paz	La Paz
sucre	Sucre
bosnia & herzegovina	Bosnia & Herzegovina
bosnia&herzegovina	Bosnia & Herzegovina
sarajevo	Sarajevo
botswana	Botswana
gaborone	Gaborone
brunei	Brunei
bandar seri begawan	Bandar Seri Begawan
bulgaria	Bulgaria
sofia	Sofia
burkina faso	Burkina Faso
ouagadougou	Ouagadougou
burundi	Burundi
bujumbura	Bujumbura
cabo verde	Cabo Verde
praia	Praia
cambodia	Cambodia
phnom penh	Phnom Penh
cameroon	Cameroon
yaounde	Yaounde
canada	Canada
ottawa	Ottawa
central african republic	Central African Republic
bangui	Bangui
chad	Chad
n'djamena	N'Djamena
ndjamena	N'Djamena
chile	Chile
santiago	Santiago
china	China
lhasa	Lhasa
beijing	Beijing
pequim	Beijing
colombia	Colombia
bogotá	Bogotá
bogota	Bogotá
comoros	Comoros
moroni	Moroni
kinshasa	Kinshasa
brazzaville	Brazzaville
costa rica	Costa Rica
san jose	San Jose
yamoussoukro	Yamoussoukro
croatia	Croatia
zagreb	Zagreb
cuba	Cuba
havana	Havana
cyprus	Cyprus
nicosia	Nicosia
czech republic	Czech Republic
czechia	Czech Republic
prague	Prague
denmark	Denmark
copenhagen	Copenhagen
djibouti	Djibouti
dominica	Dominica
roseau	Roseau
dominican republic	Dominican Republic
santo domingo	Santo Domingo
ecuador	Ecuador
quito	Quito
egypt	Egypt
cairo	Cairo
el salvador	El Salvador
san salvador	San Salvador
equatorial guinea	Equatorial Guinea
malabo	Malabo
eritrea	Eritrea
asmara	Asmara
estonia	Estonia
tallinn	Tallinn
eswatini	Eswatini
swaziland	Swaziland
mbabane	Mbabane
ethiopia	Ethiopia
addis ababa	Addis Ababa
fiji	Fiji
suva	Suva
finland	Finland
helsinki	Helsinki
france	France
paris	Paris
gabon	Gabon
libreville	Libreville
gambia	Gambia
banjul	Banjul
georgia	Georgia
tbilisi	Tbilisi
germany	Germany
berlin	Berlin
berlim	Berlin
cologne	Cologne
ghana	Ghana
accra	Accra
greece	Greece
athens	Athens
atenas	Athens
grenada	Grenada
saint george's	Saint George's
saint georges	Saint George's
guatemala	Guatemala
guatemala city	Guatemala City
guinea	Guinea
conakry	Conakry
guinea-bissau	Guinea-Bissau
bissau	Bissau
guyana	Guyana
georgetown	Georgetown
haiti	Haiti
port-au-prince	Port-Au-Prince
honduras	Honduras
tegucigalpa	Tegucigalpa
hungary	Hungary
budapest	Budapest
budapeste	Budapest
iceland	Iceland
reykjavik	Reykjavik
india	India
índia	India
hindu	India
delhi	New Delhi
new delhi	New Delhi
nova délhi	New Delhi
nova délhi	New Delhi
nova delhi	New Delhi
kashmir	Kashmir
caxemira	Kashmir
baquba	Baquba
srinagar	Srinagar
indonesia	Indonesia
jakarta	Jakarta
jacarta	Jakarta
iran	Iran
tehran	Tehran
teerã	Tehran
teera	Tehran
teerã	Tehran
iraq	Iraq
baghdad	Baghdad
bagdá	Baghdad
mossul	Mossul
mosul	Mossul
ireland	Ireland
dublin	Dublin
israel	Israel
tel aviv	Tel Aviv
tel-aviv	Tel Aviv
tel	Tel Aviv
west bank	West Bank
jerusalem	Jerusalem
Jerusalém	Jerusalem
italy	Italy
rome	Rome
roma	Rome
jamaica	Jamaica
kingston	Kingston
japan	Japan
tokyo	Tokyo
tóquio	Tokyo
tóquio	Tokyo
toquio	Tokyo
jordan	Jordan
amman	Amman
amã	Amman
kazakhstan	Kazakhstan
nur-sultan	Nur-Sultan
kenya	Kenya
nairobi	Nairobi
nairóbi	Nairobi
kiribati	Kiribati
south tarawa	South Tarawa
kosovo	Kosovo
pristina	Pristina
kuwait	Kuwait
kuwait city	Kuwait City
kyrgyzstan	Kyrgyzstan
bishkek	Bishkek
laos	Laos
vientiane	Vientiane
latvia	Latvia
riga	Riga
lebanon	Lebanon
beirut	Beirut
beirute	Beirut
lesotho	Lesotho
maseru	Maseru
liberia	Liberia
monrovia	Monrovia
libya	Libya
tripoli	Tripoli
liechtenstein	Liechtenstein
vaduz	Vaduz
lithuania	Lithuania
vilnius	Vilnius
luxembourg	Luxembourg
madagascar	Madagascar
antananarivo	Antananarivo
malawi	Malawi
lilongwe	Lilongwe
malaysia	Malaysia
kuala lumpur	Kuala Lumpur
maldives	Maldives
male	Male
mali	Mali
bamako	Bamako
malta	Malta
valletta	Valletta
marshall	Marshall
islands	Islands
majuro	Majuro
mauritania	Mauritania
nouakchott	Nouakchott
mauritius	Mauritius
port louis	Port Louis
mexico	Mexico
mexico city	Mexico City
cidade do méxico	Mexico City
cidade do mexico	Mexico City
cidade do méxico	Mexico City
moldova	Moldova
chisinau	Chisinau
monaco	Monaco
mongolia	Mongolia
