alt	name
rondônia	Rondônia
acre	Acre
amazonas	Amazonas
roraima	Roraima
pará	Pará
amapá	Amapá
tocantins	Tocantins
maranhão	Maranhão
piauí	Piauí
ceará	Ceará
rio grande do norte	Rio Grande do Norte
paraíba	Paraíba
pernambuco	Pernambuco
alagoas	Alagoas
sergipe	Sergipe
bahia	Bahia
minas gerais	Minas Gerais
minas	Minas Gerais
espírito santo	Espírito Santo
espírito	Espírito Santo
grande vitória	Espírito Santo
grande vitoria	Espírito Santo
estado de rio de janeiro	Rio de Janeiro
estado do rio de janeiro	Rio de Janeiro
estado do rio	Rio de Janeiro
estado de rio	Rio de Janeiro
baixada fluminense	Rio de Janeiro
baixada	Rio de Janeiro
ilha do governador	Rio de Janeiro
estado de são paulo	São Paulo
vale do paraíba	São Paulo
grande são paulo	São Paulo
pontal do paranapanema	São Paulo
abc	São Paulo
grande abc	São Paulo
paraná	Paraná
santa catarina	Santa Catarina
rio grande do sul	Rio Grande do Sul
mato grosso do sul	Mato Grosso do Sul
mato grosso	Mato Grosso
mato	Mato Grosso
goiás	Goiás
distrito federal	Distrito Federal
rondonia	Rondônia
para	Pará
amapa	Amapá
maranhao	Maranhão
piaui	Piauí
ceara	Ceará
paraiba	Paraíba
espirito santo	Espírito Santo
espirito	Espírito Santo
estado de sao paulo	São Paulo
grande sao paulo	São Paulo
vale do paraiba	São Paulo
baixada santista	São Paulo
parana	Paraná
goias	Goiás
rondônia	Rondônia
pará	Pará
amapá	Amapá
maranhão	Maranhão
piauí	Piauí
ceará	Ceará
paraíba	Paraíba
espírito santo	Espírito Santo
espírito	Espírito Santo
grande sáo paulo	São Paulo
estado de sáo paulo	São Paulo
vale do paraíba	São Paulo
paraná	Paraná
goiás	Goiás
ac	Acre
al	Alagoas
ap	Amapá
am	Amazonas
ba	Bahia
ce	Ceará
df	Distrito Federal
es	Espírito Santo
go	Goiás
ma	Maranhão
mt	Mato Grosso
ms	Mato Grosso do Sul
mg	Minas Gerais
pa	Pará
pb	Paraíba
pr	Paraná
pe	Pernambuco
pi	Piauí
rj	Rio de Janeiro
rn	Rio Grande do Norte
rs	Rio Grande do Sul
ro	Rondônia
rr	Roraima
sc	Santa Catarina
sp	São Paulo
se	Sergipe
to	Tocantins
grande vitória	Espírito Santo
estado de são paulo	São Paulo
grande são paulo	São Paulo
sã£o paulo	São Paulo
grande sp	São Paulo
paranã¡	Paraná
cearã¡	Ceará
parã¡	Pará
grande sã£o paulo	São Paulo
rio de	Rio de Janeiro
goiã¡s	Goiás
paraã­ba	Paraíba
espã­rito santo	Espírito Santo
maranhã£o	Maranhão
abc paulista	São Paulo
mato grosso do	Mato Grosso do Sul
de são paulo	São Paulo
grande são	São Paulo
amapã¡	Amapá
piauã­	Piauí
espã­rito	Espírito Santo
centro do rio	Rio de Janeiro
do paraíba	Paraíba
rã­o de janeiro	Rio de Janeiro
de janeiro	Rio de Janeiro
de sã£o paulo	São Paulo
