alt	name
nainital	Nainital
dehradun	Dehradun
dehra dun	Dehradun
almora	Almora
champawat	Champawat
uttarkashi	Uttarkashi
garhwal	Garhwal
pauri garhwal	Garhwal
hardwar	Hardwar
rudraprayag	Rudraprayag
tehri garhwal	Tehri Garhwal
bageshwar	Bageshwar
pithoragarh	Pithoragarh
chamoli	Chamoli
udham singh nagar	Udham Singh Nagar
chamba	Chamba
shimla	Shimla
bilaspur (himachal pradesh)	Bilaspur (Himachal Pradesh)
kangra	Kangra
lahul & spiti	Lahul & Spiti
una	Una
solan	Solan
sirmaur	Sirmaur
kinnaur	Kinnaur
mandi	Mandi
kullu	Kullu
bhind	Bhind
jhabua	Jhabua
seoni	Seoni
khandwa	Khandwa (East Nimar)
east nimar	Khandwa (East Nimar)
umaria	Umaria
hamirpur (himachal pradesh)	Hamirpur (Himachal Pradesh)
anantnag	Anantnag
baramula	Baramula
baramulla	Baramula
kulgam	Kulgam
shupiyan	Shupiyan
shopian	Shupiyan
reasi	Reasi
rajouri	Rajouri
rajauri	Rajouri
jammu	Jammu
srinagar	Srinagar
punch	Punch
poonch	Punch
kupwara	Kupwara
samba	Samba
bandipore	Bandipore
bandipora	Bandipore
kathua	Kathua
kishtwar	Kishtwar
sabar kantha	Sabar Kantha
banas kantha	Banas Kantha
surendranagar	Surendranagar
anand	Anand
narmada	Narmada
amreli	Amreli
dohad	Dohad
Dahod	Dohad
doda	Doda
pulwama	Pulwama
vadodara	Vadodara
aravali	Aravali
gwalior	Gwalior
damoh	Damoh
dhar	Dhar
katni	Katni
sidhi	Sidhi
alirajpur	Alirajpur
singrauli	Singrauli
bhopal	Bhopal
ramban	Ramban
ganderbal	Ganderbal
udhampur	Udhampur
badgam	Badgam
rajgarh	Rajgarh
mandla	Mandla
shajapur	Shajapur
shivpuri	Shivpuri
datia	Datia
shahdol	Shahdol
vidisha	Vidisha
prakasam	Prakasam
krishna	Krishna
hugli	Hugli
ambedkar nagar	Ambedkar Nagar
ballia	Ballia
kanpur nagar	Kanpur Nagar
sant ravidas nagar (bhadohi)	Sant Ravidas Nagar (Bhadohi)
sant ravidas nagar	Sant Ravidas Nagar (Bhadohi)
bhadohi	Sant Ravidas Nagar (Bhadohi)
daman	Daman
diu	Diu
bhavnagar	Bhavnagar
ahmadabad	Ahmadabad
ahmedabad	Ahmadabad
chhota udaipur	Chhota Udaipur
batod	Batod
rajkot	Rajkot
kachchh	Kachchh
kutch	Kachchh
kurnool	Kurnool
guntur	Guntur
vizianagaram	Vizianagaram
anantapur	Anantapur
west godavari	West Godavari
kadapa	Kadapa
ysr	Kadapa
kannur	Kannur
pathanamthitta	Pathanamthitta
alappuzha	Alappuzha
ernakulam	Ernakulam
kollam	Kollam
kasaragod	Kasaragod
idukki	Idukki
the dangs	The Dangs
mahesana	Mahesana
patan	Patan
bharuch	Bharuch
gir somnath	Gir Somnath
junagadh	Junagadh
devbhumi dwarka	Devbhumi Dwarka
devbhumi dwaraka	Devbhumi Dwarka
navsari	Navsari
surat	Surat
jamnagar	Jamnagar
tapi	Tapi
kheda	Kheda
betul	Betul
hoshangabad	Hoshangabad
sehore	Sehore
jabalpur	Jabalpur
narsimhapur	Narsimhapur
panna	Panna
ujjain	Ujjain
rewa	Rewa
dindori	Dindori
balaghat	Balaghat
barwani	Barwani
porbandar	Porbandar
valsad	Valsad
gandhinagar	Gandhinagar
mahisagar	Mahisagar
morbi	Morbi
panch mahals	Panch Mahals
panch mahal	Panch Mahals
kozhikode	Kozhikode
kottayam	Kottayam
thrissur	Thrissur
palakkad	Palakkad
palghat	Palakkad
thiruvananthapuram	Thiruvananthapuram
malappuram	Malappuram
wayanad	Wayanad
lakshadweep	Lakshadweep
north sikkim	North Sikkim
sheikhpura	Sheikhpura
jehanabad	Jehanabad
saharsa	Saharsa
dadra & nagar haveli	Dadra & Nagar Haveli
dadra&nagar haveli	Dadra & Nagar Haveli
dadra and nagar haveli	Dadra & Nagar Haveli
ashoknagar	Ashoknagar
ashok nagar	Ashoknagar
raisen	Raisen
chhindwara	Chhindwara
patna	Patna
satna	Satna
chhatarpur	Chhatarpur
indore	Indore
ratlam	Ratlam
harda	Harda
sagar	Sagar
neemuch	Neemuch
tikamgarh	Tikamgarh
guna	Guna
dewas	Dewas
mandsaur	Mandsaur
khargone (west nimar)	Khargone (West Nimar)
khargone	Khargone (West Nimar)
west nimar	Khargone (West Nimar)
khargone west nimar	Khargone (West Nimar)
sheopur	Sheopur
morena	Morena
burhanpur	Burhanpur
anuppur	Anuppur
east godavari	East Godavari
visakhapatnam	Visakhapatnam
sri potti sriramulu nellore	Sri Potti Sriramulu Nellore
nellore	Sri Potti Sriramulu Nellore
chittoor	Chittoor
srikakulam	Srikakulam
east sikkim	East Sikkim
nadia	Nadia
dakshin dinajpur	Dakshin Dinajpur
south sikkim	South Sikkim
murshidabad	Murshidabad
barddhaman	Barddhaman
bardhaman	Barddhaman
bankura	Bankura
puruliya	Puruliya
purulia	Puruliya
koch bihar	Koch Bihar
kochbihar	Koch Bihar
paschim medinipur	Paschim Medinipur
west sikkim	West Sikkim
kolkata	Kolkata
maldah	Maldah
south twenty four parganas	South Twenty Four Parganas
south 24 parganas	South Twenty Four Parganas
south 24 paraganas	South Twenty Four Parganas
darjiling	Darjiling
darjeeling	Darjiling
jalpaiguri	Jalpaiguri
uttar dinajpur	Uttar Dinajpur
purba medinipur	Purba Medinipur
haora	Haora
howrah	Haora
north twenty four parganas	North Twenty Four Parganas
north 24 parganas	North Twenty Four Parganas
north 24 paraganas	North Twenty Four Parganas
north 24-paraganas	North Twenty Four Parganas
north 24 pargana	North Twenty Four Parganas
birbhum	Birbhum
jamtara	Jamtara
saraikela-kharsawan	Saraikela-Kharsawan
saraikela kharsawan	Saraikela-Kharsawan
saraikela and kharsawan	Saraikela-Kharsawan
saraikela & kharsawan	Saraikela-Kharsawan
saraikela&kharsawan	Saraikela-Kharsawan
sareikela-kharsawan	Saraikela-Kharsawan
sareikela kharsawan	Saraikela-Kharsawan
sareikela and kharsawan	Saraikela-Kharsawan
sareikela & kharsawan	Saraikela-Kharsawan
sareikela&kharsawan	Saraikela-Kharsawan
simdega	Simdega
latehar	Latehar
khunti	Khunti
pashchimi singhbhum	Pashchimi Singhbhum
hazaribagh	Hazaribagh
chatra	Chatra
purbi singhbhum	Purbi Singhbhum
kodarma	Kodarma
giridih	Giridih
bokaro	Bokaro
deoghar	Deoghar
gumla	Gumla
ramgarh	Ramgarh
garhwa	Garhwa
ranchi	Ranchi
pakur	Pakur
gopalganj	Gopalganj
vaishali	Vaishali
siwan	Siwan
sheohar	Sheohar
buxar	Buxar
madhubani	Madhubani
supaul	Supaul
bhojpur	Bhojpur
darbhanga	Darbhanga
samastipur	Samastipur
kaimur (bhabua)	Kaimur (Bhabua)
rohtas	Rohtas
khagaria	Khagaria
lohardaga	Lohardaga
sahibganj	Sahibganj
godda	Godda
palamu	Palamu
arwal	Arwal
bhagalpur	Bhagalpur
purnia	Purnia
madhepura	Madhepura
munger	Munger
sitamarhi	Sitamarhi
purba champaran	Purba Champaran
lakhisarai	Lakhisarai
jamui	Jamui
begusarai	Begusarai
nalanda	Nalanda
katihar	Katihar
west delhi	West Delhi
mewat	Mewat
nuh	Mewat
jhajjar	Jhajjar
bhiwani	Bhiwani
kaithal	Kaithal
siddharthnagar	Siddharthnagar
